uc_id,title,criticality,regulation,regulation_version,clause,clause_url,assurance,mode,source_path
22.20.1,CMMC Level 2 practice evidence — CUI control area 1,high,CMMC,2.0,AC.L2-3.1.1,https://dodcio.defense.gov/CMMC/,partial,satisfies,use-cases/cat-22/uc-22.20.1.json
22.20.10,CMMC Level 2 practice evidence — CUI control area 10,medium,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.20.10.json
22.20.11,CMMC Level 3 enhanced practice — threat scenario 1,low,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.20.11.json
22.20.12,CMMC Level 3 enhanced practice — threat scenario 2,critical,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.20.12.json
22.20.13,CMMC Level 3 enhanced practice — threat scenario 3,high,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.20.13.json
22.20.14,CMMC Level 3 enhanced practice — threat scenario 4,medium,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.20.14.json
22.20.15,CMMC Level 3 enhanced practice — threat scenario 5,low,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.20.15.json
22.20.16,CMMC assessment readiness — artifact 1,critical,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.20.16.json
22.20.17,CMMC assessment readiness — artifact 2,high,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.20.17.json
22.20.18,CMMC assessment readiness — artifact 3,medium,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.20.18.json
22.20.19,CMMC assessment readiness — artifact 4,low,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.20.19.json
22.20.2,CMMC Level 2 practice evidence — CUI control area 2,medium,CMMC,2.0,AC.L2-3.1.5,https://dodcio.defense.gov/CMMC/,partial,satisfies,use-cases/cat-22/uc-22.20.2.json
22.20.20,CMMC assessment readiness — artifact 5,critical,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.20.20.json
22.20.3,CMMC Level 2 practice evidence — CUI control area 3,low,CMMC,2.0,AU.L2-3.3.1,https://dodcio.defense.gov/CMMC/,partial,satisfies,use-cases/cat-22/uc-22.20.3.json
22.20.4,CMMC Level 2 practice evidence — CUI control area 4,critical,CMMC,2.0,AU.L2-3.3.2,https://dodcio.defense.gov/CMMC/,partial,satisfies,use-cases/cat-22/uc-22.20.4.json
22.20.5,CMMC Level 2 practice evidence — CUI control area 5,high,CMMC,2.0,AU.L2-3.3.5,https://dodcio.defense.gov/CMMC/,partial,satisfies,use-cases/cat-22/uc-22.20.5.json
22.20.6,CMMC Level 2 practice evidence — CUI control area 6,medium,CMMC,2.0,CM.L2-3.4.1,https://dodcio.defense.gov/CMMC/,partial,satisfies,use-cases/cat-22/uc-22.20.6.json
22.20.7,CMMC Level 2 practice evidence — CUI control area 7,low,CMMC,2.0,IR.L2-3.6.1,https://dodcio.defense.gov/CMMC/,partial,satisfies,use-cases/cat-22/uc-22.20.7.json
22.20.8,CMMC Level 2 practice evidence — CUI control area 8,critical,CMMC,2.0,SC.L2-3.13.8,https://dodcio.defense.gov/CMMC/,partial,satisfies,use-cases/cat-22/uc-22.20.8.json
22.20.9,CMMC Level 2 practice evidence — CUI control area 9,high,CMMC,2.0,SI.L2-3.14.6,https://dodcio.defense.gov/CMMC/,partial,satisfies,use-cases/cat-22/uc-22.20.9.json
22.32.17,Controlled unclassified information access control,critical,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.32.17.json
22.32.18,CMMC practice implementation evidence collection,medium,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.32.18.json
22.32.19,CMMC assessment readiness scoring,low,CMMC,2.0,AU.L2-3.3.5,,contributing,satisfies,use-cases/cat-22/uc-22.32.19.json
22.32.20,CUI incident response evidence,critical,CMMC,2.0,AC.L2-3.1.1,,contributing,satisfies,use-cases/cat-22/uc-22.32.20.json
22.32.21,Continuous monitoring for CMMC practice families,high,CMMC,2.0,SI.L2-3.14.6,,contributing,satisfies,use-cases/cat-22/uc-22.32.21.json
